"varCode","varLabel"
"uid","unique publication ID (arbitrary)"
"pii","unique publication ID (ScienceDirect)"
"bibtype","publication type"
"title","title"
"journal","journal"
"volume","volume"
"number","number"
"pages","pages"
"year","publication year"
"issn","ISSN"
"doi","DOI"
"url","ScienceDirect URL"
"author","concat list of authors"
"keywords","keywords"
"abstract","abstract"
"editor","editor"
"booktitle","book title"
"publisher","publisher"
"series","series"
"edition","edition"
"address","publisher city or country"
"isbn","ISBN"
"note","notes"
"institution","CGIAR center affiliation"
"affname","affiliation of 1st author"
"affcountry","affiliation country of 1st author"
"affcity","affiliation city of 1st author"
"cited","number of citations"
"hasAuthor","has matching authors (TRUE/FALSE)"
"nCGIARAuthor","count of matching CGIAR-affiliated authors"
